日期,开盘价,最高价,最低价,收盘价,成交量,持仓量,动态结算价
2015-01-05,2377,2381,2369,2377,46870,154530,2375
2015-01-06,2387,2394,2386,2389,47668,147544,2390
2015-01-07,2389,2397,2386,2397,35484,153148,2393
2015-01-08,2398,2409,2393,2406,48352,149164,2400
2015-01-09,2404,2408,2398,2406,39762,140402,2402
2015-01-12,2406,2417,2398,2408,43488,137522,2407
2015-01-13,2405,2413,2399,2412,44374,145266,2405
2015-01-14,2408,2410,2405,2407,27144,144860,2407
2015-01-15,2407,2411,2406,2408,15590,144946,2408
2015-01-16,2408,2411,2402,2409,15020,147622,2407
2015-01-19,2409,2415,2408,2415,20990,147708,2412
2015-01-20,2415,2417,2411,2412,10794,151080,2413
2015-01-21,2413,2423,2411,2415,26570,151144,2417
2015-01-22,2414,2419,2414,2419,9518,151488,2416
2015-01-23,2417,2421,2414,2415,12286,149624,2416
2015-01-26,2415,2426,2413,2425,19836,152972,2421
2015-01-27,2461,2475,2460,2474,43048,165046,2469
2015-01-28,2475,2475,2464,2470,22370,169452,2468
2015-01-29,2469,2475,2466,2474,27088,164030,2471
2015-01-30,2473,2485,2470,2474,24854,168562,2476
2015-02-02,2471,2474,2460,2468,43942,174216,2467
2015-02-03,2468,2482,2468,2481,25738,178206,2475
2015-02-04,2486,2499,2482,2498,41672,177476,2492
2015-02-05,2493,2525,2491,2492,121892,177612,2509
2015-02-06,2494,2505,2487,2504,30728,177338,2496
2015-02-09,2504,2517,2501,2513,42034,178738,2510
2015-02-10,2511,2521,2511,2520,33172,181710,2517
2015-02-11,2517,2520,2509,2514,37974,182824,2514
2015-02-12,2513,2517,2508,2508,29652,179486,2512
2015-02-13,2508,2517,2505,2514,31052,175860,2512
2015-02-16,2513,2516,2507,2511,19636,176040,2510
2015-02-17,2510,2515,2508,2511,16926,176754,2510
2015-02-26,2517,2523,2508,2518,25286,188552,2514
2015-02-27,2516,2537,2516,2536,45168,201628,2528
2015-03-02,2536,2541,2526,2532,32348,203734,2532
2015-03-03,2520,2534,2520,2533,22852,207010,2531
2015-03-04,2532,2554,2532,2553,73514,224710,2545
2015-03-05,2545,2549,2535,2541,58014,219598,2541
2015-03-06,2542,2546,2538,2539,35748,220750,2540
2015-03-09,2536,2544,2530,2537,95288,242168,2534
2015-03-10,2540,2568,2537,2557,113638,254744,2554
2015-03-11,2558,2572,2555,2559,75734,251916,2564
2015-03-12,2560,2565,2552,2560,39886,254020,2558
2015-03-13,2554,2565,2549,2556,50576,260970,2557
2015-03-16,2550,2559,2545,2547,76694,270360,2549
2015-03-17,2546,2559,2546,2549,38480,269842,2551
2015-03-18,2545,2547,2535,2536,77206,276182,2540
2015-03-19,2538,2548,2531,2534,67572,275988,2538
2015-03-20,2536,2539,2530,2533,36004,277470,2534
2015-03-23,2538,2562,2537,2553,37426,270508,2550
2015-03-24,2555,2562,2554,2558,47244,269898,2557
2015-03-25,2556,2560,2537,2541,53834,272010,2547
2015-03-26,2540,2541,2522,2535,94068,286202,2530
2015-03-27,2536,2545,2529,2534,67944,292098,2535
2015-03-30,2533,2538,2526,2529,46606,283870,2529
2015-03-31,2528,2531,2512,2524,41674,281882,2524
2015-04-01,2520,2529,2510,2520,81512,279744,2521
2015-04-02,2520,2531,2520,2522,43554,281290,2525
2015-04-03,2524,2527,2513,2515,87330,305908,2516
2015-04-07,2514,2519,2511,2512,67238,308096,2514
2015-04-08,2514,2518,2507,2512,56736,304404,2510
2015-04-09,2515,2519,2508,2510,66676,301540,2510
2015-04-10,2509,2530,2508,2528,70566,282506,2517
2015-04-13,2527,2535,2522,2531,49322,287654,2529
2015-04-14,2527,2531,2498,2505,100742,301074,2509
2015-04-15,2508,2509,2487,2492,119258,312216,2496
2015-04-16,2495,2498,2479,2487,88892,319946,2486
2015-04-17,2489,2521,2485,2517,124688,290212,2507
2015-04-20,2525,2526,2492,2495,64768,290642,2506
2015-04-21,2495,2503,2489,2492,63674,288136,2495
2015-04-22,2492,2504,2488,2500,36390,284102,2496
2015-04-23,2501,2513,2500,2509,32862,280384,2506
2015-04-24,2509,2513,2495,2503,38770,281930,2501
2015-04-27,2501,2508,2497,2504,25844,279066,2503
2015-04-28,2505,2509,2482,2482,83786,281172,2494
2015-04-29,2482,2489,2470,2485,76788,287032,2481
2015-04-30,2490,2501,2477,2500,61412,286604,2490
2015-05-04,2491,2505,2491,2496,35374,285624,2498
2015-05-05,2496,2503,2485,2497,40920,285482,2492
2015-05-06,2497,2503,2493,2497,36158,283770,2497
2015-05-07,2495,2505,2488,2498,43778,282232,2498
2015-05-08,2496,2501,2491,2496,39546,277814,2496
2015-05-11,2499,2503,2496,2499,40722,267364,2499
2015-05-12,2496,2500,2494,2497,28056,263858,2496
2015-05-13,2501,2527,2498,2514,75796,240434,2513
2015-05-14,2515,2518,2505,2512,56628,239788,2509
2015-05-15,2524,2524,2509,2514,45706,238478,2513
2015-05-18,2513,2519,2506,2508,34354,239860,2510
2015-05-19,2508,2516,2507,2516,50380,233090,2510
2015-05-20,2513,2517,2503,2505,75026,232686,2506
2015-05-21,2510,2510,2504,2506,28680,233984,2506
2015-05-22,2504,2507,2489,2500,80190,225264,2497
2015-05-25,2500,2501,2475,2477,64914,221870,2487
2015-05-26,2480,2485,2452,2468,54576,216440,2473
2015-05-27,2468,2475,2439,2445,78990,236730,2456
2015-05-28,2448,2465,2445,2461,60252,245716,2457
2015-05-29,2457,2479,2451,2470,38876,243752,2465
2015-06-01,2473,2477,2457,2460,41946,245188,2463
2015-06-02,2460,2468,2458,2468,22496,238678,2463
2015-06-03,2466,2470,2446,2447,32410,242234,2456
2015-06-04,2445,2451,2380,2383,211608,251978,2410
2015-06-05,2392,2393,2369,2373,122554,255450,2381
2015-06-08,2370,2387,2349,2381,154820,265436,2367
2015-06-09,2385,2390,2372,2383,66038,266456,2379
2015-06-10,2380,2384,2364,2377,69770,268954,2374
2015-06-11,2372,2380,2368,2378,47004,264238,2374
